Library_id,description,sample id
CNhs12043,"Smooth Muscle Cells - Brachiocephalic, donor3",11433
CNhs10863,"Smooth Muscle Cells - Brain Vascular, donor1",11234
CNhs11900,"Smooth Muscle Cells - Brain Vascular, donor2",11315
CNhs12004,"Smooth Muscle Cells - Brain Vascular, donor3",11391
CNhs11328,"Smooth Muscle Cells - Bronchial, donor1",11512
CNhs12348,"Smooth Muscle Cells - Bronchial, donor2",11592
CNhs11087,"Smooth Muscle Cells - Carotid, donor1",11285
CNhs12044,"Smooth Muscle Cells - Carotid, donor3",11434
CNhs10868,"Smooth Muscle Cells - Colonic, donor1",11239
CNhs11963,"Smooth Muscle Cells - Colonic, donor2",11320
CNhs12007,"Smooth Muscle Cells - Colonic, donor3",11396
CNhs11088,"Smooth Muscle Cells - Coronary Artery, donor1",11286
CNhs11987,"Smooth Muscle Cells - Coronary Artery, donor2",11363
CNhs12045,"Smooth Muscle Cells - Coronary Artery, donor3",11435
CNhs11324,"Smooth Muscle Cells - Esophageal, donor1",11508
CNhs11988,"Smooth Muscle Cells - Internal Thoracic Artery, donor2",11364
CNhs12046,"Smooth Muscle Cells - Internal Thoracic Artery, donor3",11436
CNhs11920,"Smooth Muscle Cells - Prostate, donor1",11257
CNhs11976,"Smooth Muscle Cells - Prostate, donor2",11335
CNhs11989,"Smooth Muscle Cells - Pulmonary Artery, donor2",11365
CNhs11090,"Smooth Muscle Cells - Subclavian Artery, donor1",11289
CNhs11990,"Smooth Muscle Cells - Subclavian Artery, donor2",11366
CNhs12048,"Smooth Muscle Cells - Subclavian Artery, donor3",11438
CNhs11329,"Smooth Muscle Cells - Tracheal, donor1",11513
CNhs12894,"Smooth Muscle Cells - Tracheal, donor3",11674
CNhs10839,"Smooth Muscle Cells - Umbilical artery, donor0",11212
CNhs11091,"Smooth Muscle Cells - Umbilical Artery, donor1",11290
CNhs11991,"Smooth Muscle Cells - Umbilical Artery, donor2",11367
CNhs12049,"Smooth Muscle Cells - Umbilical Artery, donor3",11439
CNhs12597,"Smooth Muscle Cells - Umbilical Vein, donor1",11541
CNhs12569,"Smooth Muscle Cells - Umbilical Vein, donor2",11621
CNhs11927,"Smooth Muscle Cells - Uterine, donor3",11466
CNhs11992,"Synoviocyte, donor2",11368
CNhs12050,"Synoviocyte, donor3",11440
CNhs12639,"tenocyte, donor1",11763
CNhs12640,"tenocyte, donor2",11765
CNhs12641,"tenocyte, donor3",11768
CNhs11340,"Trabecular Meshwork Cells, donor1",11532
CNhs12124,"Trabecular Meshwork Cells, donor3",11693
CNhs11092,"Tracheal Epithelial Cells, donor1",11292
CNhs11993,"Tracheal Epithelial Cells, donor2",11369
CNhs12051,"Tracheal Epithelial Cells, donor3",11441
CNhs10843,"Urothelial cells, donor0",11216
CNhs11334,"Urothelial Cells, donor1",11520
CNhs12091,"Urothelial Cells, donor2",11600
CNhs12122,"Urothelial Cells, donor3",11681
CNhs11675,"Whole blood (ribopure), donor090309, donation1",12179
CNhs11671,"Whole blood (ribopure), donor090309, donation2",12180
CNhs11948,"Whole blood (ribopure), donor090309, donation3",12181
CNhs11075,"Whole blood (ribopure), donor090325, donation1",12176
CNhs11076,"Whole blood (ribopure), donor090325, donation2",12177
CNhs11672,"Whole blood (ribopure), donor090612, donation1",12182
CNhs11673,"Whole blood (ribopure), donor090612, donation2",12183
CNhs11949,"Whole blood (ribopure), donor090612, donation3",12184
